項次,分類,名稱,標準網頁檔名,相對路徑,線上瀏覽網址
1,總部中控台,🏛️ 邁向會考之路——國文攻略（總部中控台）,index.html,index.html,https://oaoadna-1313.github.io/2026_CAP-Chinese/index.html
2,語文教學資源庫 - 旗艦首頁,📘 學思軒・語文教學資源網站（會考國文練習神器大寶庫）,practicetools-hub.html,practicetools-hub.html,https://oaoadna-1313.github.io/2026_CAP-Chinese/practicetools-hub.html
3,語文教學資源庫 - 旗艦首頁,📘 學思軒・語文教學資源網站（別名入口）,yuwen-hub.html,yuwen-hub.html,https://oaoadna-1313.github.io/2026_CAP-Chinese/yuwen-hub.html
4,成語教學資源庫 - 旗艦首頁,📗 學思軒・成語教學資源網站（成語練習神器 × 方城市測驗平台）,idiom-hub.html,idiom-hub.html,https://oaoadna-1313.github.io/2026_CAP-Chinese/idiom-hub.html
5,作文教學資源庫 - 旗艦首頁,✍️ 學思軒・作文教學資源網站（會考作文 · 閱思龍門文心雕龍）,composition-hub.html,composition-hub.html,https://oaoadna-1313.github.io/2026_CAP-Chinese/composition-hub.html
6,語文教學資源庫 - 語文學習集 (國文常識/文法修辭/國學測驗),[語文學習集練習神器]二十四節氣,yuwen-24-solar-terms.html,yuwen-practice/yuwen-24-solar-terms.html,https://oaoadna-1313.github.io/2026_CAP-Chinese/yuwen-practice/yuwen-24-solar-terms.html
7,語文教學資源庫 - 語文學習集 (國文常識/文法修辭/國學測驗),[語文學習集練習神器]ABB疊詞型形容詞,yuwen-abb-adjectives.html,yuwen-practice/yuwen-abb-adjectives.html,https://oaoadna-1313.github.io/2026_CAP-Chinese/yuwen-practice/yuwen-abb-adjectives.html
8,語文教學資源庫 - 語文學習集 (國文常識/文法修辭/國學測驗),[語文學習集練習神器]諧音歇後語,yuwen-allegory-homophone.html,yuwen-practice/yuwen-allegory-homophone.html,https://oaoadna-1313.github.io/2026_CAP-Chinese/yuwen-practice/yuwen-allegory-homophone.html
9,語文教學資源庫 - 語文學習集 (國文常識/文法修辭/國學測驗),[語文學習集練習神器]諧義歇後語,yuwen-allegory-meaning.html,yuwen-practice/yuwen-allegory-meaning.html,https://oaoadna-1313.github.io/2026_CAP-Chinese/yuwen-practice/yuwen-allegory-meaning.html
10,語文教學資源庫 - 語文學習集 (國文常識/文法修辭/國學測驗),[語文學習集練習神器]三國演義相關歇後語,yuwen-allegory-three-kingdoms.html,yuwen-practice/yuwen-allegory-three-kingdoms.html,https://oaoadna-1313.github.io/2026_CAP-Chinese/yuwen-practice/yuwen-allegory-three-kingdoms.html
11,語文教學資源庫 - 語文學習集 (國文常識/文法修辭/國學測驗),[語文學習集練習神器]論語相關佳句,yuwen-analects-quotes.html,yuwen-practice/yuwen-analects-quotes.html,https://oaoadna-1313.github.io/2026_CAP-Chinese/yuwen-practice/yuwen-analects-quotes.html
12,語文教學資源庫 - 語文學習集 (國文常識/文法修辭/國學測驗),[語文學習集練習神器]古今用語大不同──人體部位、動作,yuwen-ancient-modern-body.html,yuwen-practice/yuwen-ancient-modern-body.html,https://oaoadna-1313.github.io/2026_CAP-Chinese/yuwen-practice/yuwen-ancient-modern-body.html
13,語文教學資源庫 - 語文學習集 (國文常識/文法修辭/國學測驗),[語文學習集練習神器]古今用語大不同──職業篇,yuwen-ancient-modern-occupations.html,yuwen-practice/yuwen-ancient-modern-occupations.html,https://oaoadna-1313.github.io/2026_CAP-Chinese/yuwen-practice/yuwen-ancient-modern-occupations.html
14,語文教學資源庫 - 語文學習集 (國文常識/文法修辭/國學測驗),[語文學習集練習神器]古今用語大不同──人物篇,yuwen-ancient-modern-people.html,yuwen-practice/yuwen-ancient-modern-people.html,https://oaoadna-1313.github.io/2026_CAP-Chinese/yuwen-practice/yuwen-ancient-modern-people.html
15,語文教學資源庫 - 語文學習集 (國文常識/文法修辭/國學測驗),[語文學習集練習神器]古今容器大集合,yuwen-ancient-vessels.html,yuwen-practice/yuwen-ancient-vessels.html,https://oaoadna-1313.github.io/2026_CAP-Chinese/yuwen-practice/yuwen-ancient-vessels.html
16,語文教學資源庫 - 語文學習集 (國文常識/文法修辭/國學測驗),[語文學習集練習神器]書體判斷,yuwen-calligraphy-judgment.html,yuwen-practice/yuwen-calligraphy-judgment.html,https://oaoadna-1313.github.io/2026_CAP-Chinese/yuwen-practice/yuwen-calligraphy-judgment.html
17,語文教學資源庫 - 語文學習集 (國文常識/文法修辭/國學測驗),[語文學習集練習神器]量詞,yuwen-classifiers.html,yuwen-practice/yuwen-classifiers.html,https://oaoadna-1313.github.io/2026_CAP-Chinese/yuwen-practice/yuwen-classifiers.html
18,語文教學資源庫 - 語文學習集 (國文常識/文法修辭/國學測驗),[語文學習集練習神器]顏色字判斷,yuwen-color-words.html,yuwen-practice/yuwen-color-words.html,https://oaoadna-1313.github.io/2026_CAP-Chinese/yuwen-practice/yuwen-color-words.html
19,語文教學資源庫 - 語文學習集 (國文常識/文法修辭/國學測驗),[語文學習集]同義反義偏義複詞練習神器,yuwen-compound-words.html,yuwen-practice/yuwen-compound-words.html,https://oaoadna-1313.github.io/2026_CAP-Chinese/yuwen-practice/yuwen-compound-words.html
20,語文教學資源庫 - 語文學習集 (國文常識/文法修辭/國學測驗),[語文學習集]文意大補帖-中式,yuwen-comprehension-chinese.html,yuwen-practice/yuwen-comprehension-chinese.html,https://oaoadna-1313.github.io/2026_CAP-Chinese/yuwen-practice/yuwen-comprehension-chinese.html
