"序號","分類","教材名稱","標準網頁檔名","相對路徑","線上瀏覽網址","收錄範圍/頁碼","收錄成語數","收錄成語精選預覽"
1,"網站總部","學思軒・新無敵成語教學資源網站 入口首頁","index.html","index.html","https://oaoadna-1313.github.io/2026_new5Didiom/","全站第 01~46 回全景",1991,"全冊 46 回 1,991 則成語"
2,"七上 練習神器","[七上] 成語週考第01回p.19-p.26 練功坊 線上練習神器","idiom-quiz-01.html","idiom-practice/idiom-quiz-01.html","https://oaoadna-1313.github.io/2026_new5Didiom/idiom-practice/idiom-quiz-01.html","p.19-p.26",41,"一刀兩斷、一五一十、一介不取、一心一意、一手遮天、一文不值、一日三秋、一日千里 ...等 41 則"
3,"七上 練習神器","[七上] 成語週考第02回p.27-p.34 練功坊 線上練習神器","idiom-quiz-02.html","idiom-practice/idiom-quiz-02.html","https://oaoadna-1313.github.io/2026_new5Didiom/idiom-practice/idiom-quiz-02.html","p.27-p.34",38,"一視同仁、一飯千金、一意孤行、一落千丈、一葉知秋、一鼓作氣、一網打盡、一鳴驚人 ...等 38 則"
4,"七上 練習神器","[七上] 成語週考第03回p.35-p.42 練功坊 線上練習神器","idiom-quiz-03.html","idiom-practice/idiom-quiz-03.html","https://oaoadna-1313.github.io/2026_new5Didiom/idiom-practice/idiom-quiz-03.html","p.35-p.42",42,"八拜之交、八面威風、八面玲瓏、力挽狂瀾、力學不倦、十年寒窗、十惡不赦、三人成虎 ...等 42 則"
5,"七上 練習神器","[七上] 成語週考第04回p.43-p.50 練功坊 線上練習神器","idiom-quiz-04.html","idiom-practice/idiom-quiz-04.html","https://oaoadna-1313.github.io/2026_new5Didiom/idiom-practice/idiom-quiz-04.html","p.43-p.50",42,"大公無私、大功告成、大名鼎鼎、大而化之、大快朵頤、大相逕庭、大家風範、大庭廣眾 ...等 42 則"
6,"七上 練習神器","[七上] 成語週考第05回p.51-p.58 練功坊 線上練習神器","idiom-quiz-05.html","idiom-practice/idiom-quiz-05.html","https://oaoadna-1313.github.io/2026_new5Didiom/idiom-practice/idiom-quiz-05.html","p.51-p.58",42,"不知好歹、不知所云、不知所措、不舍晝夜、不計其數、不修邊幅、不倫不類、不容置喙 ...等 42 則"
7,"七上 練習神器","[七上] 成語週考第06回p.59-p.66 練功坊 線上練習神器","idiom-quiz-06.html","idiom-practice/idiom-quiz-06.html","https://oaoadna-1313.github.io/2026_new5Didiom/idiom-practice/idiom-quiz-06.html","p.59-p.66",43,"反目成仇、反求諸己、反敗為勝、反脣相譏、天生麗質、天衣無縫、天作之合、天昏地暗 ...等 43 則"
8,"七上 練習神器","[七上] 成語週考第07回p.67-p.74 練功坊 線上練習神器","idiom-quiz-07.html","idiom-practice/idiom-quiz-07.html","https://oaoadna-1313.github.io/2026_new5Didiom/idiom-practice/idiom-quiz-07.html","p.67-p.74",45,"心滿意足、心領神會、心寬體胖、心曠神怡、戶限為穿、戶樞不蠹、手不釋卷、手忙腳亂 ...等 45 則"
9,"七上 練習神器","[七上] 成語週考第08回p.75-p.82 練功坊 線上練習神器","idiom-quiz-08.html","idiom-practice/idiom-quiz-08.html","https://oaoadna-1313.github.io/2026_new5Didiom/idiom-practice/idiom-quiz-08.html","p.75-p.82",42,"牛驥同皂、世態炎涼、乍暖還寒、以卵擊石、以身作則、以身試法、以偏概全、以訛傳訛 ...等 42 則"
10,"七上 練習神器","[七上] 成語週考第09回p.83-p.90 練功坊 線上練習神器","idiom-quiz-09.html","idiom-practice/idiom-quiz-09.html","https://oaoadna-1313.github.io/2026_new5Didiom/idiom-practice/idiom-quiz-09.html","p.83-p.90",43,"四面八方、四面楚歌、四通八達、外強中乾、失而復得、失魂落魄、巧言令色、巧奪天工 ...等 43 則"
